Credits,,,
(1-456 of 456),,,
Year,Album,Artist,
1998,Guilty: 30 Years of Randy Newman,Randy Newman,Bass
1998,Enchanted: The Works of Stevie Nicks,Stevie Nicks,Bass
1998,Anthology,The Monkees,String Bass
1997,Vanguard Collector's Edition,,Bass (Electric)
1997,The Very Best of Todd Rundgren,Todd Rundgren,Bass
1997,Lay Me Down,Nancy Bryan,String Bass
1997,Just a Singer/A Cowboy Afraid of Horses,Lobo,"Bass, Musician"
1997,Extreme Honey: The Very Best of the Warner Bros. Years,Elvis Costello,"Tuba, Double Bass, Bass (Upright), 6-String Bass, Bass, Fuzz Guitar"
1997,"Decade, 1988-1998",Jackopierce,Bass
1997,An Afternoon in the Garden,Elvis Presley,Bass
1996,You? Me? Us?,Richard Thompson,Bass (Electric)
1996,XXI,Dwight Twilley,Bass
1996,Omnipop (It's Only a Flesh Wound Lambchop),Sam Phillips,Bass
1996,Greatest Hits,The Doors,Bass
1996,Braver Newer World,Jimmie Dale Gilmore,Bass
1995,Walk a Mile in My Shoes: The Essential 70's Masters,Elvis Presley,Bass
1995,Tower of Song: The Songs of Leonard Cohen,,Bass
1995,Torn Again,Peter Case,Bass
1995,The Very Best of Helen Reddy,Helen Reddy,Guitar (Bass)
1995,Solo Collection,Glenn Frey,Bass
1995,Ron Sexsmith,Ron Sexsmith,Bass
1995,Kojak Variety,Elvis Costello,"Main Personnel, Piano, Hammond B3, Bass (Electric), Guitar (Bass), Bass, Ampeg Baby Bass"
1995,Greatest Hits [Rhino],The Monkees,"Bass, String Bass"
1995,For the Love of Harry: Everybody Sings Nilsson,,Bass
1995,Earth Songs,John Denver,Bass
1994,Weapons of the Spirit,Marvin,"Bass, Vox Organ"
1994,"Unplugged Collection, Vol. 1",,Bass
1994,Mirror Blue,Richard Thompson,"Double Bass, Bass"
1994,Martinis & Bikinis,Sam Phillips,Musician
1994,Heartaches & Harmonies [Box Set],The Everly Brothers,Bass
1994,Greatest Hits [Curb],Tommy Roe,Bass
1994,Dart to the Heart,Bruce Cockburn,"Vocals, Bass, Guitar (Bass)"
1994,Bringing on the Weather,Jackopierce,Bass
1994,"Bob Dylan's Greatest Hits, Vol. 3",Bob Dylan,Bass
1994,Beat the Retreat: Songs by Richard Thompson,,Bass
1993,"Way Down Deep in My Soul: The Best of Sugar Hill Gospel, Vol. 2",,Bass
1993,Watching the Dark,Richard Thompson,"Bass, Performer, Primary Artist"
1993,Through the Looking Glass,Eliza Gilkyson,Bass
1993,Take a Step over,Dan Crary,"Bass Instrument, Bass"
1993,Spinout/Double Trouble,Elvis Presley,Bass
1992,The Radical Light,Vonda Shepard,Bass
1992,The Criminal Under My Own Hat,T-Bone Burnett,Bass
1992,Strange Weather,Glenn Frey,Bass
1992,99.9 F°,Suzanne Vega,Bass
1991,The Doors [Original Soundtrack],,Guitar (Bass)
1991,Rumor and Sigh,Richard Thompson,Bass
1991,Mighty Like a Rose,Elvis Costello,"Guitar (Electric), Tuba, Bass (Upright), Bass (Electric), 6-String Bass, Bass, Fuzz Bass"
1991,Greatest Hits,Southern Pacific,Guitar (Bass)
1991,Deadicated: A Tribute to the Grateful Dead,,"Bass (Electric), Bass"
1991,Cruel Inventions,Sam Phillips,Bass
1991,Arkansas Traveler,Michelle Shocked,Bass
1990,The Best of Tommy Roe,Tommy Roe,Bass (Electric)
1990,The Best of Delaney & Bonnie,Delaney & Bonnie,Bass
1990,Riders on the Storm,The Doors,Bass
1990,Flower That Shattered the Stone,John Denver,Bass
1989,The Man with the Blue Post Modern Fragmented Neo-Traditionalist Guitar,Peter Case,"Bass (Upright), Bass (Electric), Guitar (Bass), Bass"
1989,Swingin' Country Favorites,,Guitar (Bass)
1989,Spike,Elvis Costello,"Double Bass, Bass (Electric), Bass, Fuzz Bass"
1989,Mystery Girl,Roy Orbison,"Bass, String Bass, Double Bass"
1989,Maria McKee,Maria McKee,Bass
1989,Great Balls of Fire,,Bass
1989,Christmas Like a Lullaby,John Denver,"Arranger, Main Personnel, Bass"
1989,Black & White Night [Live],Roy Orbison,Bass
1988,Twice the Love,George Benson,Composer
1988,The Indescribable Wow,Sam Phillips,Bass
1988,The Alternate Aloha,Elvis Presley,Guest Artist
1988,Salty Tears,Semi-Twang,Bass
1988,Pat McLaughlin,Pat McLaughlin,Bass
1988,Gagged But Not Bound,Albert Lee,Bass
1988,Black & White Night [Video],Roy Orbison,Bass
1988,Amnesia,Richard Thompson,Bass
1987,The Turning,Sam Phillips,Bass
1987,The Talking Animals,T-Bone Burnett,"Guest Artist, Bass, Musician"
1987,The High Lonesome Sound,Tim Scott,Bass
1987,Stand Up,The Del Fuegos,Composer
1987,Out of Our Idiot,Elvis Costello,Bass
1987,Delgado Brothers,The Delgado Brothers,Bass
1987,Columbia Records 1958-1986,Johnny Cash,Bass
1986,Wild Dogs,Dwight Twilley,Bass
1986,T-Bone Burnett,T-Bone Burnett,"Bass, String Bass"
1986,Peter Case,Peter Case,Musician
1986,One World,John Denver,"Arranger, Bass"
1986,King of America,Elvis Costello,"Main Personnel, Double Bass, Bass (Electric), Guitar (Bass), Bass, String Bass"
1986,Daring Adventures,Richard Thompson,"Guest Artist, Main Personnel, Bass (Upright), Bass (Electric), Bass, String Bass"
1986,Crowded House,Crowded House,Bass
1985,Southern Pacific,Southern Pacific,"Vocals, Bass"
1985,Ever Call Ready,Ever Call Ready,"Member of Attributed Artist, Vocals, Bass (Vocal), Bass, Primary Artist"
1985,Dreamland Express,John Denver,"Arranger, Bass"
1984,Slamdance,,Bass
1984,"Greatest Hits, Vol. 3",John Denver,Bass
1984,Desert Rose,Chris Hillman,"Main Personnel, Guitar (Acoustic), Guitar (Electric), Bass (Acoustic), Bass"
1983,Johnny 99,Johnny Cash,Drums
1983,It's About Time,John Denver,"Arranger, Bass"
1983,"Alive, She Cried",The Doors,Bass
1982,Seasons of the Heart,John Denver,"Arranger, Bass"
1982,Morrison Hotel/L.A. Woman,The Doors,Bass
1980,Le Chat Bleu,Mink DeVille,Bass
1978,Well Kept Secret,Juice Newton,Bass
1978,T.N.T.,Tanya Tucker,Bass
1978,Street Legal,Bob Dylan,"Guitar (Bass), Bass"
1978,Randy Richards,Randy Richards,Bass
1978,Oh! Brother,Larry Gatlin & the Gatlin Brothers Band,Bass
1978,Ever Call Ready,Chris Hillman,"Primary Artist, Vocals, Bass"
1978,Demis Roussos [Mercury],Demis Roussos,Bass
1978,An American Prayer,The Doors / Jim Morrison,Bass
1977,The Other Side,Tufano & Giammarese Band,Bass
1977,Spirit of a Woman,American Flyer,Bass
1977,Road Songs,Hoyt Axton,Bass
1977,Broken Blossom,Bette Midler,"Guitar (Bass), Bass"
1976,Photograph,Melanie,Bass
1976,Fearless,Hoyt Axton,Bass
1975,Valdy,Valdy,Bass
1975,Today,Elvis Presley,Bass
1975,Paxton Brothers,Paxton Brothers,Bass
1975,Ain't It Good to Have It All,Jim & Ginger,Guitar (Bass)
1975,A Cowboy Afraid of Horses,Lobo,Bass
1974,The Golden Scarab,Ray Manzarek,Bass
1973,Lookin' for a Smile,Gladstone,Bass
1973,Letters to My Head,Mike Deasy / Mike Deasy Sr.,Bass
1973,Great Scott,Tom Scott,Bass
1973,Elvis [The Fool Album],Elvis Presley,Bass
1973,Buckingham Nicks,Buckingham Nicks,Bass
1973,Aloha From Hawaii Via Satellite,Elvis Presley,"Main Personnel, Guitar (Bass), Bass"
1972,Weird Scenes Inside the Gold Mine,The Doors,"Bass, Guitar (Bass)"
1972,Through the Eyes of a Horn,Jim Horn,Bass
1972,Gladstone,Gladstone,Bass
1972,Equinox Express Elevator,Howard Roberts,Bass
1972,As Recorded at Madison Square Garden,Elvis Presley,Bass
1971,Sunstorm,John Stewart,Bass
1971,Runt: The Ballad of Todd Rundgren,Todd Rundgren,Bass
1971,Other Voices,The Doors,"Bass, Guitar (Bass)"
1971,Minnows,Marc Benno,Bass
1971,L.A. Woman,The Doors,"Additional Personnel, Bass Instrument, Bass, Group Member, Guitar (Bass)"
1971,Home Grown,Johnny Rivers,Bass
1971,Helen Reddy [Capitol],Helen Reddy,Guitar (Bass)
1971,America's Sweetheart,Sandy Szigeti,Bass
1970,To Bonnie From Delaney,Delaney & Bonnie,Bass
1970,That's the Way It Is,Elvis Presley,Bass
1970,Slim Slo Slider,Johnny Rivers,Bass
1970,On Stage,Elvis Presley,"Main Personnel, Guitar (Bass), Bass"
1970,Marc Benno,Marc Benno,Bass
1970,"Elvis in Person at the International Hotel, Las Vegas, Nevada",Elvis Presley,Bass
1970,Ananda Shankar,Ananda Shankar,"Main Personnel, Guitar (Bass), Bass"
196?,Mother Hen,Mother Hen,Bass
1969,The Moonstone,Tommy Flanders,"Bass, Musician"
1969,Running Down the Road,Arlo Guthrie,Bass
1969,Nancy,Nancy Sinatra,Guitar (Bass)
1969,Inner Dialogue,Inner Dialogue,Group Member
1969,Goodnight Everybody,Mary McCaslin,Bass
1969,Farewell Aldebaran,Judy Henske / Jerry Yester,Bass
1968,The Holy Mackerel,The Holy Mackerel,Bass
1968,Sounds of Goodbye,Gosdin Brothers,Bass
1968,Head,The Monkees,Bass
1968,Greatest Hits!,The Association,Musician
1967,Phantasy,Tommy Roe,Musician
1967,It's Now Winters Day,Tommy Roe,Bass
1967,Here's to You,Hamilton Camp,"Tuba, Bass"
1967,Friar Tuck & His Psychedelic Guitar,Friar Tuck and His Psychedelic Guitar,Bass
1966,Renaissance,The Association,Musician
1966,And Then...Along Comes the Association,The Association,Musician
1965,On Fire,Barney Kessel,Bass
1964,The New Mustang & Other Hot Rod Hits,Road Runners,Bass
1964,The Daily Trip,Your Gang,Bass
1956,Elvis [1956],Elvis Presley,Bass
,"Éxitos Estrella de los 80's, Vol. 2",,Guitar (Bass)
,Working!,Bobby Jameson,Guitar (Bass)
,Weihnachten 2021 [19 November],,Guitar (Bass)
,Viaje a 1989,,Guitar (Bass)
,Top Hits/60's Only Number 1's,,Musician
,The Sounds of Tijuana,Los Norte Americanos,Composer
,The Most Essential Classic Rock Ever,,Bass
,The Great Canadian Soundtrack: Pop Anthems,,Guitar (Bass)
,The Changeling,The Doors,Bass
,Sad Country Christmas [2019],,Guitar (Bass)
,Rock Classics: The Collection,,Bass
,Relax and Unwind: Chilled Pop Throwback Classics,,Guitar (Bass)
,Paris Blues,The Doors,Bass
,One Night of Sin,Big Fat Snake,Composer
,Now Roadtrip Classics,,Guitar (Bass)
,Música de los 80,,Guitar (Bass)
,Mariachi Festival,Los Norte Americanos,Composer
,"L.A. Woman, Pt. 2 [L.A. Woman Sessions]",The Doors,Bass
,Kids Country Christmas,,Guitar (Bass)
,Kid's Country Christmas [2019],,Guitar (Bass)
,Inspirational Country Christmas,,Guitar (Bass)
,Hits Of The 70s [2019],,Guitar (Bass)
,Handcuffed to a Heartache,Mary K. Miller,Bass
,Freeway Gypsy,Lynne Hughes,Guitar (Bass)
,Forever Changing: The Golden Age of Elektra 1963-1973,,Guitar (Bass)
,Fire Down Below,Bouke,Composer
,Delivers One More Hallelujah,John Hurley,"Guitar (Bass), Bass"
,Dan Cassidy,Dan Cassidy,Bass
,Complete Christmas Party,,Guitar (Bass)
,Chill Country Christmas,,Guitar (Bass)
,Born to Rock: 60 Tracks of Classic Rock,,Bass
,Best of the 70s [Rhino],,Guitar (Bass)
,All I Want For Christmas!,,Guitar (Bass)
,90s Country Christmas,,Guitar (Bass)
,70s Throwback,,Guitar (Bass)
,70s Songs,,Guitar (Bass)
,70s Road Trip Classics,,Guitar (Bass)
,70s Classics 70s Hits 70s Pop 70s Songs,,Guitar (Bass)
,"60s, 70s, 80s, 90s Oldies",,Guitar (Bass)
,1970s Jazz for Kids,,Bass (Vocal)
,100 Greatest Running Tracks,,Guitar (Bass)
,100 Greatest Rock Anthems,,Bass
,100 Greatest Rock,,Bass
,100 Greatest Golden Oldies,,Guitar (Bass)
,100 Greatest Classic Rock Songs,,Bass
,100 Greatest 70s: Golden Oldies from the Seventies,,Guitar (Bass)
